ï»¿id,bot,flag11
19248106,0,1
2567072732,0,1
90748957,0,1
3229405733,1,1
19670467,0,1
416030450,0,1
3245582815,1,1
449436847,0,1
758469000000000000,1,1
159966364,1,1
382972481,0,1
27106837,0,1
860795611,0,1
106010958,0,1
244743317,0,1
168477019,0,1
1403581621,0,1
268414482,0,1
2381315456,1,1
4054357513,1,1
375117674,1,1
244910581,0,1
3364413982,1,1
754892000000000000,0,1
219255067,0,1
64459603,0,1
164481132,0,1
465182549,0,1
133404204,0,1
740000000000000000,1,1
850495242,1,1
852739632,1,1
26658046,0,1
52775726,0,1
18839785,0,1
11348282,0,1
17471979,0,1
253321807,0,1
36107106,1,1
19923144,0,1
556142994,0,1
18393773,0,1
2314672190,1,1
780708000000000000,1,1
158487331,0,1
19426551,0,1
105119490,0,1
59775065,0,1
55752358,0,1
35787166,0,1
407616007,0,1
22342898,0,1
256634583,0,1
2561646679,0,1
4091727471,1,1
3290651747,1,1
3426729850,1,1
807095,0,1
306097862,0,1
352376426,0,1
3229554058,1,1
4095361159,1,1
129942953,0,1
759025000000000000,1,1
858204450,1,1
15888142,0,1
3298173622,1,1
209708391,0,1
19397785,0,1
845589283,1,1
84083187,0,1
856242686,1,1
589535421,0,1
71978637,0,1
4855815726,0,1
3020309903,1,1
165731902,0,1
903162031,0,1
375694319,0,1
23652567,0,1
123322294,0,1
28706024,0,1
31927467,0,1
1273164162,0,1
3901064081,1,1
471741741,0,1
728139000000000000,1,1
822216000000000000,0,1
44252420,0,1
18681139,0,1
145046142,0,1
35408870,1,1
3137971624,1,1
856077606,1,1
768783000000000000,1,1
4639760414,1,1
190550701,0,1
3265528788,1,1
2556842574,1,1
4883207059,1,1
2564337723,1,1
205203060,1,1
716530098,1,1
25073877,0,1
14872237,0,1
750764000000000000,1,1
270426592,0,1
4886553186,1,1
711123000000000000,1,1
769000000000000000,0,1
750868000000000000,1,1
1652541,0,1
150817706,0,1
40255499,0,1
22338630,0,1
79293791,0,1
2467190329,1,1
480575795,0,1
854422044,1,1
16190898,0,1
2420565234,1,1
194538554,0,1
373745691,0,1
22166136,0,1
160591075,0,1
311830293,0,1
342347053,0,1
83462293,0,1
114976173,1,1
832039000000000000,1,1
190591939,0,1
20206051,0,1
549264466,0,1
291227271,1,1
2205024632,0,1
1620743941,0,1
356486086,0,1
23375688,0,1
3072915819,1,1
1715051,0,1
1968714288,1,1
3199884297,0,1
44409004,0,1
524956084,0,1
846011000000000000,1,1
1384640706,1,1
804182444,0,1
175883705,0,1
70727809,0,1
854482440,0,1
919979270,0,1
819531865,1,1
4746905184,0,1
850590698,1,1
2600705052,1,1
3004231,0,1
738925000000000000,1,1
4925299425,1,1
2174746250,1,1
705216000000000000,1,1
26257166,0,1
145125358,0,1
86231642,0,1
45052382,0,1
3300622553,1,1
2259884294,1,1
2468086038,1,1
2342447737,1,1
2262148759,1,1
3694685310,1,1
847608391,1,1
249218671,1,1
841111291,1,1
772554582,0,1
98572780,0,1
1076033178,1,1
2759909491,1,1
17919972,0,1
2354507203,1,1
97762747,0,1
788564000000000000,1,1
48626235,1,1
5988062,0,1
15846407,0,1
21623813,0,1
3631838303,1,1
3341453481,0,1
3433099685,1,1
4919025952,1,1
3224552461,1,1
2577008935,1,1
424308815,1,1
2572529604,1,1
2838688612,1,1
1360710618,0,1
160951141,0,1
1032940160,1,1
3406693534,1,1
812529000000000000,1,1
735000000000000000,1,1
737000000000000000,0,1
792000000000000000,1,1
757000000000000000,1,1
791000000000000000,1,1
807000000000000000,1,1
778000000000000000,1,1
840000000000000000,1,1
824000000000000000,1,1
809000000000000000,1,1
753000000000000000,1,1
801000000000000000,1,1
786000000000000000,1,1
841000000000000000,0,1
776000000000000000,1,1
780000000000000000,1,1
758000000000000000,1,1
742000000000000000,0,1
729000000000000000,1,1
751000000000000000,0,1
761000000000000000,1,1
833000000000000000,1,1
829000000000000000,1,1
745000000000000000,1,1
837000000000000000,0,1
762000000000000000,1,1
789000000000000000,1,1
844000000000000000,1,1
731000000000000000,1,1
736000000000000000,0,1
826000000000000000,1,1
812000000000000000,1,1
734000000000000000,1,1
781000000000000000,1,1
815000000000000000,0,1
760000000000000000,1,1
832000000000000000,1,1
831000000000000000,1,1
754000000000000000,1,1
842000000000000000,1,1
744000000000000000,1,1
771000000000000000,1,1
816000000000000000,1,1
733000000000000000,0,1
787000000000000000,0,1
800000000000000000,0,1
810000000000000000,1,1
798000000000000000,1,1
728000000000000000,1,1
2900085166,1,1
783214,0,1
85426644,0,1
360945774,0,1
2986306048,1,1
731201000000000000,1,1
612754791,1,1
4493562022,1,1
2897136909,1,1
78956001,0,1
4462343293,1,1
3830053332,1,1
586671909,0,1
332888068,0,1
756937000000000000,1,1
2163813157,1,1
2602312513,1,1
813000000000000000,0,1
355883433,0,1
3229506502,1,1
20322929,0,1
16712547,0,1
268439864,0,1
2566951536,1,1
174632702,1,1
843270408,1,1
2564439320,1,1
342737458,1,1
566078011,1,1
268809577,1,1
750999000000000000,1,1
10228272,0,1
218833868,1,1
176566242,0,1
3119554528,1,1
